post_id,meta_key,meta_value
18640,_ywgc_balance_total,200
18729,_ywgc_balance_total,375
18754,_ywgc_balance_total,150
18755,_ywgc_balance_total,150
18757,_ywgc_balance_total,200
18762,_ywgc_balance_total,150
18764,_ywgc_balance_total,175
18769,_ywgc_balance_total,200
18771,_ywgc_balance_total,500
18778,_ywgc_balance_total,300
18852,_ywgc_balance_total,100
18854,_ywgc_balance_total,447.22
18860,_ywgc_balance_total,300
18862,_ywgc_balance_total,300
18867,_ywgc_balance_total,200
18952,_ywgc_balance_total,500
18955,_ywgc_balance_total,400
18962,_ywgc_balance_total,200
18963,_ywgc_balance_total,200
18964,_ywgc_balance_total,200
18966,_ywgc_balance_total,200
18973,_ywgc_balance_total,150
18982,_ywgc_balance_total,50
19086,_ywgc_balance_total,200
19088,_ywgc_balance_total,40
19090,_ywgc_balance_total,500
19092,_ywgc_balance_total,200
19100,_ywgc_balance_total,460
19107,_ywgc_balance_total,200
19114,_ywgc_balance_total,200
19116,_ywgc_balance_total,300
19118,_ywgc_balance_total,600
47352,_ywgc_balance_total,100
47354,_ywgc_balance_total,100
47389,_ywgc_balance_total,300
47393,_ywgc_balance_total,500
47397,_ywgc_balance_total,200
47401,_ywgc_balance_total,389.92
47928,_ywgc_balance_total,200
48026,_ywgc_balance_total,325
48028,_ywgc_balance_total,100
48064,_ywgc_balance_total,150
48129,_ywgc_balance_total,200
48140,_ywgc_balance_total,750
48141,_ywgc_balance_total,750
48142,_ywgc_balance_total,750
48143,_ywgc_balance_total,750
48145,_ywgc_balance_total,750
48146,_ywgc_balance_total,124.59
48148,_ywgc_balance_total,750
48149,_ywgc_balance_total,750
48150,_ywgc_balance_total,750
48151,_ywgc_balance_total,750
48152,_ywgc_balance_total,750
48153,_ywgc_balance_total,750
48154,_ywgc_balance_total,750
48155,_ywgc_balance_total,750
48156,_ywgc_balance_total,750
48157,_ywgc_balance_total,750
48158,_ywgc_balance_total,750
48159,_ywgc_balance_total,750
48160,_ywgc_balance_total,101.25
48161,_ywgc_balance_total,750
48176,_ywgc_balance_total,300
48210,_ywgc_balance_total,200
48226,_ywgc_balance_total,250
48233,_ywgc_balance_total,100
48234,_ywgc_balance_total,100
48259,_ywgc_balance_total,400
48269,_ywgc_balance_total,250
48270,_ywgc_balance_total,150
48271,_ywgc_balance_total,150
48303,_ywgc_balance_total,100
48306,_ywgc_balance_total,220
48315,_ywgc_balance_total,103.78
48317,_ywgc_balance_total,100
48319,_ywgc_balance_total,75
48321,_ywgc_balance_total,300
48325,_ywgc_balance_total,250
48329,_ywgc_balance_total,100
48330,_ywgc_balance_total,100
48332,_ywgc_balance_total,150
48333,_ywgc_balance_total,250
48335,_ywgc_balance_total,86.52
48337,_ywgc_balance_total,120
48339,_ywgc_balance_total,200
48340,_ywgc_balance_total,200
48342,_ywgc_balance_total,300
48346,_ywgc_balance_total,250
48350,_ywgc_balance_total,100
48351,_ywgc_balance_total,150
48353,_ywgc_balance_total,150
48354,_ywgc_balance_total,150
48358,_ywgc_balance_total,200
48360,_ywgc_balance_total,300
48362,_ywgc_balance_total,100
48366,_ywgc_balance_total,60
48372,_ywgc_balance_total,100
48376,_ywgc_balance_total,200
48380,_ywgc_balance_total,400
48382,_ywgc_balance_total,300
48383,_ywgc_balance_total,300
48384,_ywgc_balance_total,300
48386,_ywgc_balance_total,250
48390,_ywgc_balance_total,300
48404,_ywgc_balance_total,200
48405,_ywgc_balance_total,200
48449,_ywgc_balance_total,125
48458,_ywgc_balance_total,150
48463,_ywgc_balance_total,225
48520,_ywgc_balance_total,200
48522,_ywgc_balance_total,250
48525,_ywgc_balance_total,100
48527,_ywgc_balance_total,200
48549,_ywgc_balance_total,300
48575,_ywgc_balance_total,150
48583,_ywgc_balance_total,150
48584,_ywgc_balance_total,150
48586,_ywgc_balance_total,150
48587,_ywgc_balance_total,150
48589,_ywgc_balance_total,200
48591,_ywgc_balance_total,100
48593,_ywgc_balance_total,200
48599,_ywgc_balance_total,200
48621,_ywgc_balance_total,150
48670,_ywgc_balance_total,300
48672,_ywgc_balance_total,300
48674,_ywgc_balance_total,100
48706,_ywgc_balance_total,300
48724,_ywgc_balance_total,750
48731,_ywgc_balance_total,250
48761,_ywgc_balance_total,75
48763,_ywgc_balance_total,250
48765,_ywgc_balance_total,300
48767,_ywgc_balance_total,200
48769,_ywgc_balance_total,249.9
48771,_ywgc_balance_total,100
48775,_ywgc_balance_total,450
48777,_ywgc_balance_total,300
48781,_ywgc_balance_total,400
48783,_ywgc_balance_total,200
48785,_ywgc_balance_total,250
48787,_ywgc_balance_total,200
48789,_ywgc_balance_total,150
48791,_ywgc_balance_total,350
48793,_ywgc_balance_total,150
48795,_ywgc_balance_total,130
48815,_ywgc_balance_total,400
48819,_ywgc_balance_total,200
48820,_ywgc_balance_total,200
48823,_ywgc_balance_total,150
48824,_ywgc_balance_total,150
48831,_ywgc_balance_total,250
48836,_ywgc_balance_total,50
48837,_ywgc_balance_total,50
48838,_ywgc_balance_total,100
48839,_ywgc_balance_total,100
48840,_ywgc_balance_total,100
48848,_ywgc_balance_total,200
48856,_ywgc_balance_total,200
